,pkts,bytes,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,_peer_ip
29,2,228,0,4.00543212890625e-05,4.00543212890625e-05,0.0,4.00543212890625e-05,4.00543212890625e-05,4.00543212890625e-05,1,1,174,54,49932.19047619047,24966.095238095237,24966.095238095237,96.201.27.44
30,2,228,0,4.6253204345703125e-05,4.6253204345703125e-05,0.0,4.6253204345703125e-05,4.6253204345703125e-05,4.6253204345703125e-05,1,1,174,54,43240.24742268041,21620.123711340206,21620.123711340206,111.241.74.111
31,2,228,0,2.2649765014648438e-05,2.2649765014648438e-05,0.0,2.2649765014648438e-05,2.2649765014648438e-05,2.2649765014648438e-05,1,1,174,54,88301.13684210526,44150.56842105263,44150.56842105263,192.2.110.3
32,2,228,0,6.008148193359375e-05,6.008148193359375e-05,0.0,6.008148193359375e-05,6.008148193359375e-05,6.008148193359375e-05,1,1,174,54,33288.12698412698,16644.06349206349,16644.06349206349,163.17.72.9
33,2,228,0,6.556510925292969e-05,6.556510925292969e-05,0.0,6.556510925292969e-05,6.556510925292969e-05,6.556510925292969e-05,1,1,174,54,30504.02909090909,15252.014545454545,15252.014545454545,148.179.36.36
34,2,228,0,2.3365020751953125e-05,2.3365020751953125e-05,0.0,2.3365020751953125e-05,2.3365020751953125e-05,2.3365020751953125e-05,1,1,174,54,85598.04081632652,42799.02040816326,42799.02040816326,186.244.76.114
35,2,228,0,3.0279159545898438e-05,3.0279159545898438e-05,0.0,3.0279159545898438e-05,3.0279159545898438e-05,3.0279159545898438e-05,1,1,174,54,66052.03149606299,33026.015748031496,33026.015748031496,103.78.108.73
36,2,228,0,5.4836273193359375e-06,5.4836273193359375e-06,0.0,5.4836273193359375e-06,5.4836273193359375e-06,5.4836273193359375e-06,1,1,174,54,364722.0869565217,182361.04347826086,182361.04347826086,205.241.77.154
37,2,228,0,8.58306884765625e-06,8.58306884765625e-06,0.0,8.58306884765625e-06,8.58306884765625e-06,8.58306884765625e-06,1,1,174,54,233016.88888888888,116508.44444444444,116508.44444444444,98.213.191.224
38,2,228,0,2.5033950805664062e-05,2.5033950805664062e-05,0.0,2.5033950805664062e-05,2.5033950805664062e-05,2.5033950805664062e-05,1,1,174,54,79891.50476190477,39945.752380952385,39945.752380952385,111.64.58.192
